UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Youness Tanji,@YounessTanji,2020-04-06T23:20:49.000Z,"https://m.facebook.com/watchparty/673648510063523/…
@COVID_France
 
@AlAhly","Log into Facebook | Facebook
Log into Facebook to start sharing and connecting with your friends, family, and people you know.
m.facebook.com",,,,,['https://pbs.twimg.com/card_img/1359551309053972480/xksWiQAM?format=png&name=240x240'],https://twitter.com/YounessTanji/status/1247303275407433728
K.E,@ANTIJRADA,2020-04-06T21:20:03.000Z,"#COVID19 
#confinementjour22 
#confinement 
#فيروس_كورونا 
#StayAtHomeSaveLives",,,,,2,['https://pbs.twimg.com/media/EU80E7uXsAEW19T?format=jpg&name=small'],https://twitter.com/ANTIJRADA/status/1247272884591931392
Saoud Ayoub,@SaoudAyoub,2020-04-06T09:13:59.000Z,"Centres d’appels: Le syndicat monte au créneau https://leconomiste.com/article/1060018-centres-d-appels-le-syndicat-monte-au-creneau#.XoryXjyKb9c.twitter… 
#Covid_19 #callcenter #dialoguesocial #Cgem #UMT","Centres d’appels: Le syndicat monte au créneau
Depuis le déclenchement de la crise du Covid-19, les centres d’appels ont été nombreux à prendre des mesures urgentes: Télétravail, hygiène renforcée, mesure de la température des salariés, respect
leconomiste.com",,,,,[],https://twitter.com/SaoudAyoub/status/1247090163961999360
khalil F65,@moiarabe67,2020-04-06T21:00:33.000Z,Bientôt en France Le port de masque sera obligatoire cause #covid19 mais n’est il pas interdit de se couvrir le visage dans les lieux publics ,,🤔,,,,['https://pbs.twimg.com/media/EU8vnPRXsAMJks3?format=jpg&name=900x900'],https://twitter.com/moiarabe67/status/1247267978758033409
K.E,@ANTIJRADA,2020-04-06T21:03:25.000Z,"Replying to 
@WACofficiel","Très bonne initiative . 
#Covid_19 
#فيروس_كورونا",,,,1,[],https://twitter.com/ANTIJRADA/status/1247268696847941638
Saoud Ayoub,@SaoudAyoub,2020-04-07T14:18:13.000Z,"#COVID19 #callcenter #Solidarity #TradeUnion 
http://chng.it/QDJkxmDkMg",,,,4,5,['https://pbs.twimg.com/media/EVAdFeGU8AMZrvR?format=jpg&name=small'],https://twitter.com/SaoudAyoub/status/1247529114820468741
K.E,@ANTIJRADA,2020-04-07T09:25:46.000Z,"Le port obligatoire du masque ne vous donne pas le droit de sortir en famille ou groupe et pour n'importe quoi bande de crétins !!! 
#confinement 
#COVID19",,,1,1,7,[],https://twitter.com/ANTIJRADA/status/1247455517468962817
Douds,@elarabihoud,2020-04-07T13:31:30.000Z,"Une question sérieuse 
 : si l état prend en charge tous les malades covid quelle est la place des assurances maladies et mutuelles santé ???",,⚠ ⚠ ⚠,6,,3,[],https://twitter.com/elarabihoud/status/1247517356202414085
K.E,@ANTIJRADA,2020-04-08T21:19:10.000Z,"#confinement 
#COVIDー19 
#StayHomeSaveLives 
#COVID19 
#بقا_فدارك_باش_تحمي_بلادك",,,,1,1,['https://pbs.twimg.com/media/EVHHDa_UMAAMPuF?format=jpg&name=small'],https://twitter.com/ANTIJRADA/status/1247997436221624320
S. AMAR ⵙⴰⵍⴰⵎ ⴰⵎⴰⵕ,@salamishka,2020-04-08T21:38:09.000Z,#Covid_19 #Coronavirusmaroc #coronavirus #بقا_فدارك #كورونا_المغرب  #confinement #lockdown #cabinfever,,,,,,['https://pbs.twimg.com/media/EVHLZRUU0AEEFDr?format=jpg&name=medium'],https://twitter.com/salamishka/status/1248002214133710848
Laarabi נורמליזציה עם הנגיף,@nawfal,2020-04-09T11:07:46.000Z,L'hymne officiel des confinés de la planète luttant contre le vilain #COVID19,"0:37
223 views",,,,2,[],https://twitter.com/nawfal/status/1248205961568964609
Laarabi נורמליזציה עם הנגיף,@nawfal,2020-04-09T11:07:46.000Z,L'hymne officiel des confinés de la planète luttant contre le vilain #COVID19,"0:34
223 views",,,,2,[],https://twitter.com/nawfal/status/1248205961568964609
S. AMAR ⵙⴰⵍⴰⵎ ⴰⵎⴰⵕ,@salamishka,2020-04-10T00:05:05.000Z,"#Covid_19 #Coronavirusmaroc    #coronavirus #بقا_فدارك #كورونا_المغرب  #confinement #lockdown 
#cabinfever #coronacooking
Came across this recipe of #croissants from #Argentina from 
@CocineroFer
 . Une recette parfaite ! Merci ! https://pic.twitter.com/gmGCWNspMG",,,,1,4,"['https://pbs.twimg.com/media/EVM2ka4UwAYMNS6?format=jpg&name=small', 'https://pbs.twimg.com/media/EVM2lz_UEAAx76J?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EVM2nCcUwAonnzC?format=jpg&name=small']",https://twitter.com/salamishka/status/1248401580224700416
Salah BENSABIR صلاح بنصابر,@salahbensabir,2020-04-10T15:18:51.000Z,"#orphelin ... On le devient tous un jour ! Pensons à ceux qui le sont devenus trop tôt...surtout en cette période #difficile...
http://sos-maroc.org 
#ach_galou #sosmaroc #enfant_seul #COVID19",,,,,,['https://pbs.twimg.com/media/EVQHxCsWsAIPMlI?format=jpg&name=small'],https://twitter.com/salahbensabir/status/1248631538683527169
Aido Car Casablanca,@Aidocars,2020-04-10T15:47:13.000Z,"Vous avez besoin de #louer une petite #voiture pour assurer les courses du matin en cette période de confinement contre le #covid_19 ? Aido Car #Casablanca Vous en offre une, désinfectée par des professionnels &… https://instagram.com/p/B-zk_T0nn-L/?igshid=11016w6n3l8fq…",,,,,,[],https://twitter.com/Aidocars/status/1248638673861718016
Mossaab Tazi,@MossaabTazi,2020-04-10T23:15:21.000Z,"Réunion concernant l’utilité importante de 
@hayatsante
 contre le COVID-19",,,,,2,['https://pbs.twimg.com/media/EVR00w7X0AA4gLl?format=jpg&name=small'],https://twitter.com/MossaabTazi/status/1248751451515555841
Hajiba Bghaych,@hajibabghaych,2020-04-11T19:04:07.000Z,"معنديش وقت #سميرة_سعيد
#كورونا #خليك_بالبيت
#كورونا_المغرب
#Covid_19
#anghami #Deconfinement #EXO
 #Quarantine
https://youtu.be/OTNFd0KYuN4
#غرد_باجمل_منظر","Samira Said - Ma Aandeesh Waet - Creative Video | 2018 | سميرة سعيد -...
Samira Said - Maandeesh Wakt - Creative Video | 2018 | سميرة سعيد - معنديش وقتسميرة سعيد - أغنية 2018 - أغنية معنديش وقت Creative Director: Nidal Haniكلمات...
youtube.com",,,,2,['https://pbs.twimg.com/card_img/1363966980206772226/_dFCriL0?format=jpg&name=240x240'],https://twitter.com/hajibabghaych/status/1249050616577613825
K.E,@ANTIJRADA,2020-04-12T17:39:17.000Z,"Alhamdoulillah .Guéri du Covid il vient de sortir de l'hôpital mais.. mais ... 
!!!",,,,1,3,['https://pbs.twimg.com/media/EVa7EhcXgAAwR8r?format=jpg&name=small'],https://twitter.com/ANTIJRADA/status/1249391652696985608
Tyler Durdon,@corne_ius,2020-04-11T22:49:20.000Z,"Replying to 
@nawfal","Jai vu son live, mais normalement seuls le public prend en charge les malades covid. Pk elle est partie a une clinique privée",,1,,2,[],https://twitter.com/corne_ius/status/1249107292450152449
Laarabi נורמליזציה עם הנגיף,@nawfal,2020-04-12T10:55:30.000Z,D'après la dame le numéro du Covid aurait dit qu'ils leur fallait une autorisation spéciale. Et comme elle s'effondrait d'étouffement elle a appelé une ambulance qui l'a transporté à la fameuse clinique privée.,,,1,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1249289880506687488/pu/img/cJE__hru0nzsWEm7.jpg'],https://twitter.com/nawfal/status/1249290038195740672
Laarabi נורמליזציה עם הנגיף,@nawfal,2020-04-12T10:55:30.000Z,D'après la dame le numéro du Covid aurait dit qu'ils leur fallait une autorisation spéciale. Et comme elle s'effondrait d'étouffement elle a appelé une ambulance qui l'a transporté à la fameuse clinique privée.,"0:10
267 views",,1,,1,[],https://twitter.com/nawfal/status/1249290038195740672
"Amale (wants a
)",@A_avecE,2020-04-11T22:48:54.000Z,"Replying to 
@nawfal","Pourquoi sa copine est partie à une clinique privé? Pourquoi elle n'a pas suivi le process normal d'appeler le numéro d'urgence? Sinon si l'état lui a fait le test et est +, comment n'a elle pas été prise en charge pas l'état et qu'elle aille au privé?
Je trouve l'histoire weird.",💉,2,2,15,[],https://twitter.com/A_avecE/status/1249107183259856896
Laarabi נורמליזציה עם הנגיף,@nawfal,2020-04-12T11:00:05.000Z,"D'après elle, au numéro du Covid ils lui ont dit qu'ils leur fallait une autorisation spéciale. Comme elle s'effondrait d'étouffement elle a appelé une ambilance qui l'a amené à la fameuse clinique privée.",,,1,,,['https://pbs.twimg.com/ext_tw_video_thumb/1249291046397390848/pu/img/5LEiOG1LB86klsKw.jpg'],https://twitter.com/nawfal/status/1249291190014541835
Laarabi נורמליזציה עם הנגיף,@nawfal,2020-04-12T10:55:30.000Z,D'après la dame le numéro du Covid aurait dit qu'ils leur fallait une autorisation spéciale. Et comme elle s'effondrait d'étouffement elle a appelé une ambulance qui l'a transporté à la fameuse clinique privée.,"267 views
0:03 / 0:12",,1,,1,[],https://twitter.com/nawfal/status/1249290038195740672
Laarabi נורמליזציה עם הנגיף,@nawfal,2020-04-12T11:00:05.000Z,"D'après elle, au numéro du Covid ils lui ont dit qu'ils leur fallait une autorisation spéciale. Comme elle s'effondrait d'étouffement elle a appelé une ambilance qui l'a amené à la fameuse clinique privée.","0:10
160 views",,1,,,[],https://twitter.com/nawfal/status/1249291190014541835
Meriem Belkhayat,@MeriemBelkhayat,2020-04-13T16:58:57.000Z,"I am happy to share with you my first video from #koulnafdar,  a personal initiative to send some positive waves to all people in quarantine during this hard time of Covid-19. 
Watch the full videos on YouTube and… https://instagram.com/p/B-7bgfHp4NC/?igshid=wl28h1vt2lsm…",,,,,,[],https://twitter.com/MeriemBelkhayat/status/1249743889411510273
Association TAFRA,@TAFRA_,2020-04-13T09:11:45.000Z,"Lettre ouverte à M. Ahmed Lahlimi sur l'accès aux données publiques du HCP. Si vous êtes d'accord, merci de signer et diffuser !
http://tafra.ma/lettre-ouverte-a-monsieur-ahmed-lahlimi-alami-haut-commissaire-au-plan/…",,,5,22,24,[],https://twitter.com/TAFRA_/status/1249626318662242304
meryem mernissi,@meryemmernissi2,2020-04-13T19:25:56.000Z, un autre de nos rêves qui se réalisera comme effet collatéral au COVID - bravo et merci,,✅,,,1,[],https://twitter.com/meryemmernissi2/status/1249780879750242304
chaouki salma,@ChaoukiSalma,2020-04-13T09:15:23.000Z,"Replying to 
@MyHafidElalamy",A cause du covid et avons mis en place les protections nécessaires mais nous ne trouvons plus de masque pour nos employés même pas un seul.. nous sommes dans l obligation de continuer à travailler mais je ne trouve pas d ou acheter les masques à mes collaborateurs. Qui contacter?,,,,,[],https://twitter.com/ChaoukiSalma/status/1249627230571028480
HichamLahlouDesigner ®,@LahlouHicham,2020-04-13T21:34:58.000Z,"Fier d'être Franco - Marocain 
Prions pour le Maroc, la France et le Monde 
Proud to be Franco - Moroccan
Pray for Morocco, France and the World
#Covid_19 #StayAtHome #maroc #france #monde #world 
@AmbaFranceMaroc
… https://instagram.com/p/B-77Dd_Bjpo/?igshid=l1h8umxo8nhs…",,,,,2,[],https://twitter.com/LahlouHicham/status/1249813351351320578
S. AMAR ⵙⴰⵍⴰⵎ ⴰⵎⴰⵕ,@salamishka,2020-04-14T13:05:35.000Z,"#Covid_19 #Coronavirusmaroc    #coronavirus #بقا_فدارك #كورونا_المغرب  #confinement #lockdown 
#cabinfever",,,,,1,['https://pbs.twimg.com/ext_tw_video_thumb/1250047458937376769/pu/img/I-l_yQeGtFv2vMlA.jpg'],https://twitter.com/salamishka/status/1250047550826131462
chaouki salma,@ChaoukiSalma,2020-04-14T23:05:35.000Z,"Mondialisation, nous sommes citoyen du monde et quand le covid tape à nos portes... chacun chez soi!!!!!!!  #citoyens #ouestlamondialisation","Quote Tweet
Mouna Hachim
@mounahachim
 · Apr 14, 2020
Les cellules d'accompagnement ne sont plus suffisantes pour venir en aide aux Marocains bloqués à l'étranger, le Maroc ne peut pas abandonner les siens. Qu'est ce qui empêche un rapatriement progressif des cas les plus délicats d'abord, avec une quarantaine obligatoire ?...
Show this thread",,,,,['https://pbs.twimg.com/profile_images/1303404737417613312/lWiFezAP_mini.jpg'],https://twitter.com/ChaoukiSalma/status/1250198545870848003
chaouki salma,@ChaoukiSalma,2020-04-14T23:01:59.000Z,Quand la politique et la raison prennent deux routes différentes... ou pas !!!!ce personnage marquerait-il l’histoire ? #whoisthatman #Covid_19 #IMPACTHistory,"Quote Tweet
Le Figaro
@Le_Figaro
 · Apr 14, 2020
 FLASH - Le président américain @realDonaldTrump a annoncé qu'il suspendait la contribution des Etats-Unis à l'Organisation mondiale de la santé (OMS) en raison de sa «mauvaise gestion» de l'épidémie du #coronavirus.
https://lefigaro.fr/flash-eco/trump-suspend-la-contribution-americaine-a-l-oms-20200415…",🔴 ➡,,,1,"['https://pbs.twimg.com/profile_images/1181777707920711680/L0KWKo11_mini.jpg', 'https://pbs.twimg.com/media/EVmXIANXsAAVvrw?format=jpg&name=small']",https://twitter.com/ChaoukiSalma/status/1250197639502729219
rachida,@rachida65158360,2020-04-14T14:28:58.000Z,"رياضة...دش...عطر...قهوة...شوكولا...موسيقى...وطبعا صلاة...فربما أعيش أواخر أيامي...ربما !!!...
☻
#Covid_19",,💃,2,,6,['https://pbs.twimg.com/media/EVkis1WWoAIURZS?format=jpg&name=small'],https://twitter.com/rachida65158360/status/1250068536334172163
CIH BANK,@cihbank,2020-04-14T16:28:46.000Z,"CIH BANK, en collaboration avec son partenaire INTELAW, vous permet d'accéder en avant-première et à titre gratuit à la Base de Données Juridiques dédiée au #COVID19.
 Pour accéder à la Base de données, cliquez sur ce lien : https://cih-juridique.intelaw.ma/#/covid19",,,3,2,8,['https://pbs.twimg.com/media/EVk-Hv-WsAkICD1?format=jpg&name=small'],https://twitter.com/cihbank/status/1250098682420215809
Rita M,@RitaMediaManiaK,2020-04-14T22:27:25.000Z,"Replying to 
@MohamedDouyeb",Essentiellement sur les libertés individuelles mais so far jen ai pas encore entendu parler au Maroc du moins,,1,,2,[],https://twitter.com/RitaMediaManiaK/status/1250188938691526656
Bo3o بوعو,@khela23,2020-04-14T22:36:06.000Z,Tu sais la direction générale n'a pas besoin d'une application pour nous suivres. Dance cas de figure la tacking covid est primordial,,🦠 🦠 🦠 ⚪ 🔴 ⭐ ⭐,1,,,[],https://twitter.com/khela23/status/1250191127808008195
