UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Helpers,@Helper37216548,2020-07-09T22:03:50.000Z,"Tell Nigeria Terrorist government that Paying millions of dollars will not stop BIAFRA not to come. They are mad people. I can assure them that.
BIAFRA IS A MUST. M.U.S.T
@UN
 @StateDept
 @hrw
 @SecPompeo
 @WhiteHouse
 @PressSec
 @BorisJohnson
 @UKParliament
 @realDonaldTrump
 @UnderSecPD",,,17,275,212,[],https://twitter.com/Helper37216548/status/1281348360142761984
We HearVoicesOutThere,@WeHearPodcast,2020-07-09T20:00:15.000Z,"Cohen's attorney, Adler, stated that he hopes this is just a coincidence after just yesterday SCOTUS ruled Cohen could testify against Trump. Adler thinks that AG Barr is behind this. Another suicide in the works? 
@WhiteHouse
 The whole World is watching.","The Washington Post
@washingtonpost
 · Jul 9, 2020
Ex-Trump lawyer Michael Cohen, who was serving his prison term at home, taken back into federal custody, officials say https://washingtonpost.com/national-security/michael-cohen-federal-custody/2020/07/09/c30d7bce-c213-11ea-b178-bb7b05b94af1_story.html…",,3,14,17,['https://pbs.twimg.com/profile_images/1060271522319925257/fJKwJ0r2_mini.jpg'],https://twitter.com/WeHearPodcast/status/1281317260842450952
jodi,@Jodi_LVK,2020-07-09T16:54:35.000Z,"The rest of the time that 
@realDonaldTrump
 remains in the office of 
@POTUS
 he is a lame duck & everything he thinks hes accomplished will be undone in a few months. The stench of the Trump 
@WhiteHouse
 will be gone soon!#LockHimUp ",,,1,,4,[],https://twitter.com/Jodi_LVK/status/1281270538556583942
morgan,@morglewis7,2020-07-09T18:25:45.000Z,"my tik tok is glitching so bad y’all i think the government is actually gonna block it /: bro china has my info already it’s fine let’s move on 
@WhiteHouse",,,,,6,[],https://twitter.com/morglewis7/status/1281293480573222914
Lawrence Gostin,@LawrenceGostin,2020-07-09T17:23:30.000Z,"I want schools to open, but only safely. 
@WhiteHouse
 pressuring 
@CDCDirector
 on school safety guidelines worries me. For sake of 
@cdc
 independence & integrity, Redfield must push back against 
@POTUS
 & 
@VP
. Integrity of science on the line w/ each drip, drip of pol interference",,,,3,18,[],https://twitter.com/LawrenceGostin/status/1281277813446901760
Business Standard,@bsindia,2020-07-09T04:10:00.000Z,"US is preparing to take additional actions against #China, the 
@WhiteHouse
 has said, but what those presidential measures would be was not made clear.","US preparing to take 'additional actions' against China, says White House
The countries have sparred over China imposing a new national security law in Hong Kong, restrictions on American journalists, treatment of Uyghurs Muslims and security measures in Tibet
business-standard.com",,,2,10,[],https://twitter.com/bsindia/status/1281078121978978307
The Jerusalem Post,@Jerusalem_Post,2020-07-09T20:14:36.000Z,"A reporter who was in a 
@WhiteHouse
 briefing has tested positive for #coronavirus.","White House reporter tests positive for coronavirus -association
jpost.com",,1,11,13,['https://pbs.twimg.com/card_img/1411676046370410499/P5Fx4soL?format=jpg&name=small'],https://twitter.com/Jerusalem_Post/status/1281320871475453954
Steve Herman,@W7VOA,2020-07-09T17:06:26.000Z,"Readout from the 
@WhiteHouse
 of a phone call between 
@POTUS
 and 
@MinPres
.",,,2,4,4,['https://pbs.twimg.com/media/Ecf_YVXWoAUsJVI?format=png&name=small'],https://twitter.com/W7VOA/status/1281273517305184258
Steve Herman,@W7VOA,2020-07-09T18:07:22.000Z,"Now 
@PressSec
 is at the 
@WhiteHouse
 lectern, 35 minutes behind scheduled start time.",,,10,7,19,['https://pbs.twimg.com/media/EcgNU4QXQAA0zAd?format=jpg&name=small'],https://twitter.com/W7VOA/status/1281288851365851136
moneycontrol,@moneycontrolcom,2020-07-09T02:08:01.000Z,"Relations between the #US and #China have spiralled downward since the outbreak of #Coronavirus. Here's what we know so far.
@WhiteHouse
 #UnitedStates #USChina #Covid19","United States Considering Additional Actions Against China: White House
United States and China have been sparred over the latter imposing a new national security law in Hong Kong, restrictions on American journalists, treatment of Uyghurs Muslims and security measures...
moneycontrol.com",,,3,10,['https://pbs.twimg.com/card_img/1412529370414125056/sNvnsjAz?format=jpg&name=small'],https://twitter.com/moneycontrolcom/status/1281047424916615169
